ALF,AS,LRII,LRIC,Rho,CT,C,CRPa,CRPe,DLI,DLC,TRI,Failure
0.072698851,3.222222222,0.048500882,0.1455,0.0194,2,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.032787841,Flexure-shear
0.283660698,3.222222222,0.062956047,0.1889,0.0194,2,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.042559903,Flexure-shear
0.262077819,3.222222222,0.091170713,0.2735,0.0303,2,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.039321649,Shear
0.262077819,3.222222222,0.091170713,0.2735,0.0303,3,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.100270206,Shear
0.08945472,3.222222222,0.093543186,0.2806,0.0303,2,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.040344889,Shear
0.072698851,3.222222222,0.048500882,0.1455,0.0194,2,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.032787841,Flexure-shear
0.283660698,3.222222222,0.09867889,0.296,0.0303,3,DC,0.083333333,0.083333333,1.498489426,1.498489426,0.108527752,Flexure-shear
0.599121155,2,0.020676173,0.0414,0.0186,4,DC,0.049777778,0.049777778,1.381679389,1.381679389,0.387261555,Flexure
0.599121155,2,0.020676173,0.0414,0.0186,4,DC,0.049777778,0.049777778,1.381679389,1.381679389,0.613730251,Flexure
0.599121155,2,0.020676173,0.0414,0.0186,4,DC,0.049777778,0.049777778,1.381679389,1.381679389,0.789081751,Flexure
0.349696589,2,0.020676173,0.0414,0.0186,4,DC,0.049777778,0.049777778,1.381679389,1.381679389,0.613730251,Flexure
0.349696589,2,0.020676173,0.0414,0.0186,4,DC,0.049777778,0.049777778,1.381679389,1.381679389,0.789081751,Flexure
0.33949504,7.637795276,0,0.102,0.0101,2,C,0.090909091,0.090909091,1.619164619,1.619164619,0.033768688,Flexure
0.500066907,6.039344262,0.040446857,0.1213,0.0258,2,C,0.037704918,0.037704918,1.54185022,1.54185022,0.356629187,Flexure
0.359975817,6.039344262,0.040672502,0.122,0.0258,3,C,0.045901639,0.045901639,1.54185022,1.54185022,0.37574934,Flexure
0.500060262,6.039344262,0.040615855,0.1218,0.0258,3,C,0.045901639,0.045901639,1.54185022,1.54185022,0.375226013,Flexure
0.499962809,6.039344262,0.040559365,0.1217,0.0258,3,C,0.037704918,0.037704918,1.54185022,1.54185022,0.57755824,Flexure
0.449949815,6.039344262,0.028646546,0.0859,0.0258,3,C,0.037704918,0.037704918,1.54185022,1.54185022,0.453246425,Flexure
0.459952122,6.039344262,0.028618434,0.0859,0.0258,3,C,0.037704918,0.037704918,1.54185022,1.54185022,0.536212456,Flexure
0.450016072,6.039344262,0.028590376,0.0858,0.0258,3,C,0.045901639,0.045901639,1.54185022,1.54185022,0.252890122,Flexure
0.469961834,6.039344262,0.028534426,0.0856,0.0258,2,C,0.037704918,0.037704918,1.54185022,1.54185022,0.341449765,Flexure
0.42785114,4.7,0.06536309,0.1961,0.0195,4,C,0.082857143,0.082857143,1.448639157,1.448639157,0.26814976,Flexure
0.42785114,4.7,0.06536309,0.1961,0.0195,4,C,0.082857143,0.082857143,1.448639157,1.448639157,0.53629952,Flexure
0.199519808,4.7,0.06536309,0.1961,0.0195,4,C,0.082857143,0.082857143,1.448639157,1.448639157,0.53629952,Flexure
0.461704682,4.7,0.130726181,0.2615,0.0293,4,C,0.082857143,0.082857143,1.448639157,1.448639157,0.357533013,Flexure
0.461704682,4.7,0.130726181,0.2615,0.0293,4,C,0.082857143,0.082857143,1.448639157,1.448639157,0.715066026,Flexure
0.456182473,4.7,0,0.3223,0.0229,4,C,0.082857143,0.082857143,1.465048137,1.465048137,0.715066026,Flexure
0.461704682,4.7,0.130726181,0.2615,0.0293,4,C,0.082857143,0.082857143,1.448639157,1.448639157,0.351188223,Flexure
0.230732293,4.7,0.130726181,0.2615,0.0293,4,C,0.082857143,0.082857143,1.448639157,1.448639157,0.351188223,Flexure
0.461704682,4.7,0.165280027,0.2479,0.0328,4,C,0.082857143,0.082857143,1.577840112,1.577840112,0.351188223,Flexure
0.461704682,4.7,0.165280027,0.2479,0.0328,4,C,0.082857143,0.082857143,1.577840112,1.577840112,0.715066026,Flexure
0.049509328,3.004926108,0,0.1624,0.0193,2,C,0.161083744,0.197044335,1.26173008,1.26173008,0.214349533,Flexure
0.049509328,3.004926108,0,0.1624,0.0193,2,C,0.166995074,0.196059113,1.26173008,1.26173008,0.214349533,Flexure
0.102005383,3.004926108,0,0.1627,0.0193,2,C,0.085714286,0.127093596,1.276952647,1.276952647,0.277862993,Flexure
0.102005383,3.004926108,0,0.163,0.0193,2,C,0.085714286,0.117241379,1.276469562,1.276469562,0.27479763,Flexure
0.210804021,3.004926108,0,0.1685,0.0193,2,C,0.073399015,0.108374384,1.276952647,1.276952647,0.287620014,Flexure
0.210804021,3.004926108,0,0.1688,0.0193,2,C,0.119704433,0.071921182,1.276469562,1.276469562,0.284447013,Flexure
0,3.004926108,0,0.2911,0.0193,2,C,0.071921182,0.118226601,1.273982177,1.273982177,0.497074167,Flexure
0,3.004926108,0,0.2917,0.0193,2,C,0.062068966,0.136945813,1.273504274,1.273504274,0.491590484,Flexure
0.14318768,3.004926108,0,0.234,0.0193,2,C,0.161083744,0.188669951,1.26173008,1.26173008,0.308876346,Flexure
0.14318768,3.004926108,0,0.2344,0.0193,2,C,0.168472906,0.192118227,1.261284279,1.261284279,0.305624805,Flexure
0.362405863,3.004926108,0,0.2896,0.0193,2,C,0.087192118,0.101970443,1.273982177,1.273982177,0.494464854,Flexure
0.362405863,3.004926108,0,0.2901,0.0193,2,C,0.101970443,0.101970443,1.273504274,1.273504274,0.489009956,Flexure
0.112951807,3.5,0.141536647,0.2831,0.0214,6,C,0.085,0.085,1.191146881,1.191146881,0.460385783,Flexure
0.158005618,3.5,0.13199485,0.264,0.0214,6,C,0.085,0.085,1.191146881,1.191146881,0.429348539,Flexure
0.215517241,3.5,0.135029215,0.2701,0.0214,6,C,0.085,0.085,1.191146881,1.191146881,0.439218621,Flexure
0.111166008,3.5,0.139298913,0.2786,0.0214,4,C,0.085,0.085,1.191146881,1.191146881,0.435679766,Flexure
0.155673432,3.5,0.130046587,0.2601,0.0214,4,C,0.085,0.085,1.191146881,1.191146881,0.406741626,Flexure
0.20988806,3.5,0.131502332,0.263,0.0214,4,C,0.085,0.085,1.191146881,1.191146881,0.411294704,Flexure
0.106534091,3.5,0.133494792,0.267,0.0214,4,C,0.085,0.085,1.191146881,1.191146881,0.4020625,Flexure
0.153409091,3.5,0.128155,0.2563,0.0214,4,C,0.085,0.085,1.191146881,1.191146881,0.38598,Flexure
0.209107807,3.5,0.131013476,0.262,0.0214,4,C,0.085,0.085,1.191146881,1.191146881,0.394589219,Flexure
0,2.666666667,0.139668701,0.2328,0.0188,1,C,0.083114611,0.083114611,1.589861751,1.589861751,0.069705623,Shear
